Country,Year,IDH,GDP,Electricity,Eletricity_Investimente,Health,Health_Investimente,total_power,Renewable_share_pct,Power_Import,CO2_Emission_Total,Emission_Energy,Emission_Sector
Switzerland,2022,967.0,83007.28,,,,11.71,,,,,,
Norway,2022,966.0,91068.6,,,,7.95,1163.360045015812,,-750.39,44.555943,34.47999934852123,401.130001058802
Iceland,2022,959.0,65932.13,,,,9.29,139.0899975951761,,,3.2501152,3.8500000834465027,29.15999961644411
Denmark,2022,952.0,70865.44,,,,9.48,279.920003965497,,47.42,28.141527,56.320001780986786,253.35000028833747
Sweden,2022,952.0,63611.36,,,,10.5,1384.400012254715,,28.68,36.208576,56.79999867081642,325.8899975605309
Ireland,2022,950.0,124991.3,,,,6.12,268.8800046443939,,86.01,34.733627,89.5200005620718,312.75000035203993
Germany,2022,950.0,63353.94,,,,12.61,4535.039924263954,,71.67,659.50183,1905.1999918967485,5935.590140797198
Singapore,2022,949.0,132468.94,,,,4.9,398.4400063753128,,242.58,55.75721,200.9000051189214,278.7500037625432
Netherlands,2022,946.0,72103.87,,,,10.1,958.3200058043003,,98.94,132.97073,312.4800080358982,1196.729986578226
Australia,2022,946.0,58997.7,,,,9.93,2183.360050201416,,-236.76,374.8785,1261.679991722107,2624.2299674861133
Belgium,2022,942.0,63974.25,,,,10.76,754.6400187015533,,86.74,89.739265,105.19999761879444,807.7500175014138
Finland,2022,942.0,58024.48,,,,9.66,433.0200036764145,,42.33,36.153683,56.22000027447939,325.34999442100525
United Kingdom,2022,940.0,54805.45,,,,11.05,2578.320056915283,,39.5,327.46066,646.5600012540817,2619.6800751388073
New Zealand,2022,939.0,49474.24,,,,10.03,350.24000668525696,,28.89,34.600925,39.519999563694,311.3099976181984
United Arab Emirates,2022,937.0,68867.83,,3.802e+09,,4.68,919.8599954210222,,-171.48,206.89949,512.2200091928244,1448.3699939250946
Canada,2022,935.0,56872.61,,,,11.23,5271.60009765625,,-87.69,575.3213,826.5599908828735,4602.480000376701
Luxembourg,2022,927.0,137059.19,,,,5.55,7.199999995529652,,110.05,7.26296,1.0199999883770943,65.42999942600727
United States,2022,927.0,72841.92,,,,16.5,,,,4786.6304,,
Austria,2022,926.0,66294.72,,,,11.16,516.0800094604492,,77.11,61.223713,72.79999995231628,551.0700047984719
Slovenia,2022,926.0,47433.4,,,,9.61,106.88000254333019,,53.67,13.131905,27.51999968290329,118.26000218465924
Japan,2022,920.0,45174.73,,,,11.42,8324.559921264648,,89.95,1009.9787,4325.60015976429,8079.9198117256165
Malta,2022,915.0,59133.77,,,,9.52,16.100000331178308,,389.55,1.7595316,8.050000159069896,15.840000232681632
Israel,2022,915.0,48271.42,,,,7.34,,,,,,
Spain,2022,911.0,46479.09,,,,9.74,,,,,,
France,2022,910.0,55106.33,,,,11.88,,,,,,
Cyprus,2022,907.0,52882.29,,,,8.87,36.82000095024705,,117.04,7.1853094,20.440000794827938,64.61999899148941
Italy,2022,906.0,52924.61,,,,9.03,,,,,,
Estonia,2022,899.0,44492.12,,,,6.99,71.52000057697296,,6.82,12.588157,34.880000323057175,113.30999808758497
Czechia,2022,895.0,50617.7,,,,8.8,669.8400106430054,,42.04,99.43255,327.1199974268675,895.050010856241
Greece,2022,893.0,35956.25,,,,8.5,413.35999727249146,,92.92,54.932297,155.76000159978867,494.46000185608864
Bahrain,2022,888.0,57465.17,,,,3.84,214.07999083399773,,-45.48,36.289085,193.25999450683594,326.61000595986843
Andorra,2022,884.0,63913.38,,,,7.54,,,,,,
Poland,2022,881.0,44160.86,,,,6.4,1428.8000354766846,,46.76,317.29187,1047.279972344637,2855.6999573260546
Lithuania,2022,879.0,47238.1,,,,7.24,32.31999969482422,,75.92,13.150136,5.840000048279762,118.26000013947487
Latvia,2022,879.0,36348.81,,,,7.62,35.210000321269035,,41.35,6.6579237,4.759999997913837,59.849998477846384
Croatia,2022,878.0,39844.14,,,,7.22,98.70000053197145,,61.9,17.442486,24.149999994784594,157.13999772816896
Qatar,2022,875.0,114740.13,,,,2.18,433.3599901944399,,-396.07,118.729805,261.1999914497137,1068.569995611906
Saudi Arabia,2022,875.0,57351.88,,,,4.62,2808.8199703097343,,-178.2,605.2576,1966.5100341718644,3631.500013053417
Portugal,2022,874.0,41288.05,,,,10.47,370.63999605178833,,81.56,39.498676,83.52000041306019,355.41000422649086
San Marino,2022,867.0,70887.57,,,,7.41,,,,,,
Chile,2022,860.0,29557.39,,,,10.06,728.3200070858002,,66.49,88.84503,271.52000400424004,799.6500067356974
Hungary,2022,851.0,40693.96,,,,6.69,286.24000358581543,,64.45,47.60121,65.52000112831593,428.4000115133822
Argentina,2022,849.0,27627.96,,5.16e+08,,9.86,1164.9600143432617,,1.97,193.48164,457.6799914687872,1547.8399754315615
Kuwait,2022,847.0,50984.3,,,,4.27,682.3199954032898,,-283.1,109.397316,434.55999206006527,984.5100143551826
Montenegro,2022,844.0,26164.64,,,,10.92,,,,,,
Uruguay,2022,830.0,30879.93,,,,8.95,118.88000202178955,,46.21,8.710404,13.11999997496605,78.39000061154366
Romania,2022,827.0,39733.66,,,,5.75,437.9199960231781,,32.45,75.98179,130.3999972641468,683.8200033903122
Antigua and Barbuda,2022,826.0,28033.13,,,,5.73,1.8000000156462193,0.9,,0.30645475,1.0999999940395355,2.7900000382214785
Panama,2022,820.0,33833.03,,,,8.47,61.24999908730388,,171.19,11.998078,10.349999852478504,108.0000005364418
Oman,2022,819.0,40366.46,,,,2.92,264.7199899703264,,-213.63,90.97041,144.89999525249004,818.7300024032593
