Year,co2_total_country,country_maior_emissao,co2_total_sector,sector_maior_emissao,co2_total_energia,energia_maior_emissao
2023,,,216781.69139393792,Power Industry,82582.99935529195,Coal
2022,1629583.2935829908,China,212668.8285695631,Power Industry,80510.64117704146,Coal
2021,1632465.6459339112,China,212953.190878788,Power Industry,79455.1217261441,Coal
2020,1552915.724443674,China,202728.68181324378,Power Industry,74697.1186241433,Coal
2019,1601579.5558968335,China,209081.90971125476,Power Industry,75899.25908427685,Coal
2018,1590061.392456472,China,207180.85230146348,Power Industry,75725.52948381193,Coal
2017,1548699.7342357785,China,201390.8406812623,Power Industry,72736.1896901261,Coal
2016,1521991.7168825418,China,197815.86098491028,Power Industry,70355.38066667505,Coal
2015,1515488.2388720363,China,196667.57951720618,Power Industry,68796.66968289576,Coal
2014,1526053.718938224,China,197742.34752626345,Power Industry,69362.36032192782,Coal
